text;label
Chán ghê được phết luôn đó!;__label__chitchat
Nay thèm trà đào sả, quê vãi.;__label__chitchat
Ui, ship đồ ăn giúp mình với, đồng ý không?;__label__chitchat
Thật lòng mà nói, chính sách giáo dục mới nghe ngộ ghê.;__label__chitchat
Hôm nay mai dậy sớm nổi không, mệt vãi;__label__chitchat
Bạn hay chơi game không?;__label__chitchat
Ngonnnn;__label__chitchat
Bạn thường dậy lúc mấy giờ?;__label__chitchat
Thật lòng mà nói, minh bạch ngân sách nghe mệt mệt mà vui.;__label__chitchat
Quan điểm bạn ra sao về minh bạch ngân sách thấy sao?;__label__chitchat
Nay thèm trà đào sả, phiền phức quá trời.;__label__chitchat
Nay đi ăn bún bò không, vãi chưởng.;__label__chitchat
Thật lòng mà nói, minh bạch ngân sách nghe vui phết.;__label__chitchat
Chúc buổi tối vui vẻ;__label__chitchat
Có khi nào tự do ngôn luận đi cùng tui không?;__label__chitchat
Bạn có hay chụp hình không?;__label__chitchat
Nay đi Đà Lạt cuối tuần hông, vãi chưởng.;__label__chitchat
Nghe nè cũng được á luôn đó!;__label__chitchat
Ngồi đâu vậy?;__label__chitchat
Bạn có nấu ăn không?;__label__chitchat
Theo bạn thì giá xăng tăng giảm remark gì không?;__label__chitchat
Nói thiệt, thèm trà đào sả, ổn không?;__label__chitchat
Quan điểm bạn ra sao về giá nhà đất có nên thử không?;__label__chitchat
Bạn đang học hay đi làm?;__label__chitchat
Mlem mlem, đang kẹt xe á, có gì hot hông?;__label__chitchat
Thật lòng mà nói, bầu cử sắp tới nghe khum biết nữa.;__label__chitchat
Bạn nghĩ gì về quy hoạch đô thị có nên thử không?;__label__chitchat
Mệt ghê luôn;__label__chitchat
Nay thèm trà đào sả, quê ghê.;__label__chitchat
Ghê ta;__label__chitchat
Ừ nè;__label__chitchat
Nay đi ăn bún bò không, trễ chớ.;__label__chitchat
Vãi thật;__label__chitchat
Rảnh không?;__label__chitchat
Có gì hot?;__label__chitchat
Thật lòng mà nói, giá nhà đất nghe lú luôn.;__label__chitchat
hihi;__label__chitchat
Ui mệt mỏi ghê luôn đó!;__label__chitchat
Mình thấy thị trường lao động có gì đâu mà lo?;__label__chitchat
Thiệt luôn, đi ăn bún bò không, có gì đâu mà lo?;__label__chitchat
Nay đang kẹt xe á, vãi thiệt.;__label__chitchat
Ờ được đó;__label__chitchat
Chào buổi tối;__label__chitchat
Ờ ha chuẩn luôn;__label__chitchat
Căng đét, wifi chập chờn khó chịu, ổn không?;__label__chitchat
Nghĩ mà tức, mai dậy sớm nổi không, có gì đâu mà lo?;__label__chitchat
haha;__label__chitchat
Liệu rằng bảo hiểm y tế được hong?;__label__chitchat
Có chắc hông?;__label__chitchat
Bạn có thích Tết không?;__label__chitchat
Có vẻ như mức thuế thu nhập được hong?;__label__chitchat
Thiệt hông?;__label__chitchat
Hôm nay deadline dí muốn xỉu, nhức đầu vãi;__label__chitchat
Hôm nay làm biếng kinh khủng, tụt mood vãi;__label__chitchat
Nghe nè, nay deadline dí muốn xỉu, có gì đâu mà lo?;__label__chitchat
Drama mới nè;__label__chitchat
Nay ngủ trễ quá mai toang, mệt xỉu.;__label__chitchat
Bạn thích biển hay núi?;__label__chitchat
Nay coi phim gì tối nay, vãi chưởng.;__label__chitchat
Có khi nào giá nhà đất ổn không?;__label__chitchat
Bạn có thích học ngoại ngữ không?;__label__chitchat
Bạn thích uống cà phê hay trà?;__label__chitchat
Nghe nè, đang kẹt xe á, ổn không?;__label__chitchat
Xịn sò, mua điện thoại mới chưa, thấy sao?;__label__chitchat
Thật lòng mà nói, giá xăng tăng giảm nghe khum biết nữa.;__label__chitchat
Mlem mlem, đi Đà Lạt cuối tuần hông, remark gì không?;__label__chitchat
Cười xỉu bá cháy luôn đó!;__label__chitchat
Nay wifi chập chờn khó chịu, vãi chưởng.;__label__chitchat
Làm tí không?;__label__chitchat
Cười xỉu, đi Đà Lạt cuối tuần hông, remark gì không?;__label__chitchat
zzz;__label__chitchat
Haha, đang detox mạng xã hội nè, remark gì không?;__label__chitchat
Thôi kệ;__label__chitchat
Được của nó;__label__chitchat
Hóng quá trời;__label__chitchat
Nay nay deadline dí muốn xỉu, vãi nồi.;__label__chitchat
Bạn đang làm gì thế?;__label__chitchat
Nay đang kẹt xe á, quê ghê.;__label__chitchat
Thú thật, máy tính lag quá, được không?;__label__chitchat
Nghe đã ghê;__label__chitchat
Ừ thôi kệ;__label__chitchat
Cười xỉu );__label__chitchat
Quan điểm bạn ra sao về chính sách giáo dục mới remark gì không?;__label__chitchat
Nay thấy giá xăng tăng giảm thiệt là bực mình quá;__label__chitchat
Nay coi phim gì tối nay, vãi nồi.;__label__chitchat
Khá là ảo lú luôn luôn đó!;__label__chitchat
Thật không tin nổi;__label__chitchat
Ơ nghe cũng lạ;__label__chitchat
Thật lòng mà nói, quốc hội đang tranh luận nghe cũng okela.;__label__chitchat
Thèm bún bò;__label__chitchat
Bạn đi làm bằng gì?;__label__chitchat
Thật lòng mà nói, quốc hội đang tranh luận nghe khum biết nữa.;__label__chitchat
Thật lòng mà nói, thị trường lao động nghe lươn lẹo quá.;__label__chitchat
Rất vui được gặp bạn;__label__chitchat
Cảm ơn nhiều nhé;__label__chitchat
Nghe chán thật;__label__chitchat
Nói thiệt đi;__label__chitchat
Nay có sale nè mua không, mệt xỉu.;__label__chitchat
Nói thiệt vui phết luôn đó!;__label__chitchat
Khá là ảo, coi phim gì tối nay, được hong?;__label__chitchat
Này này, coi phim gì tối nay, ổn không?;__label__chitchat
Hehe, wifi chập chờn khó chịu, thấy sao?;__label__chitchat
Nay trời mưa thế này đi đâu, mệt bá đạo.;__label__chitchat
Mlem mlem ngộ ghê luôn đó!;__label__chitchat
Công nhận, đi Đà Lạt cuối tuần hông, có gì đâu mà lo?;__label__chitchat
Haha vui phết luôn đó!;__label__chitchat
Nghĩ mà tức, đang kẹt xe á, đồng ý không?;__label__chitchat
Nay trúng lịch thi liền 2 môn, vãi nồi.;__label__chitchat
Alo;__label__chitchat
Hehe, ngủ trễ quá mai toang, đi cùng tui không?;__label__chitchat
Thật lòng mà nói, môi trường và rác thải nhựa nghe mệt mệt mà vui.;__label__chitchat
Ngon không trời?;__label__chitchat
Bạn thích đi du lịch chứ?;__label__chitchat
Thiệt luôn khum biết nữa luôn đó!;__label__chitchat
Khét lẹt;__label__chitchat
Ê bạn ơi, ngủ trễ quá mai toang, có nên thử không?;__label__chitchat
Thiệt luôn, deadline dí muốn xỉu, nghe hợp lý không?;__label__chitchat
Thật lòng mà nói, môi trường và rác thải nhựa nghe hết nước chấm.;__label__chitchat
Ui, cà phê sữa hay bạc xỉu, nghe hợp lý không?;__label__chitchat
Đi nhậu không?;__label__chitchat
Chán ghê;__label__chitchat
Chất lượng phết;__label__chitchat
Chán ghê, cà phê sữa hay bạc xỉu, ổn không?;__label__chitchat
Lol;__label__chitchat
Ôi chao, đi ăn bún bò không, thấy sao?;__label__chitchat
Buồn ghê;__label__chitchat
Thật lòng mà nói, chuyển đổi số nghe hơi phèn.;__label__chitchat
Liệu rằng giá nhà đất có gì đâu mà lo?;__label__chitchat
Ê bạn ơi, ship đồ ăn giúp mình với, đi cùng tui không?;__label__chitchat
Nay máy tính lag vãi, mệt xỉu.;__label__chitchat
Quan điểm bạn ra sao về minh bạch ngân sách nghe hợp lý không?;__label__chitchat
Nghe cũng hợp lý;__label__chitchat
Thú thật bối rối dễ sợ luôn đó!;__label__chitchat
Nay đang detox mạng xã hội nè, quê vãi.;__label__chitchat
Chuẩn không cần chỉnh;__label__chitchat
Hôm nay cà phê sữa hay bạc xỉu, mệt vãi;__label__chitchat
Bạn làm gì dịp lễ?;__label__chitchat
Có vẻ như thị trường lao động có nên thử không?;__label__chitchat
Xui ghê;__label__chitchat
Hôm nay ngủ trễ quá mai toang, chán vãi;__label__chitchat
Chán ghê, đang detox mạng xã hội nè, đồng ý không?;__label__chitchat
Bạn làm nghề gì?;__label__chitchat
Đi dạo không?;__label__chitchat
Thật lòng mà nói, giá nhà đất nghe phải hông.;__label__chitchat
Bạn có khỏe không?;__label__chitchat
Nghe nói môi trường và rác thải nhựa được không?;__label__chitchat
Ờ ngon đó;__label__chitchat
Nói nghe coi;__label__chitchat
Mình thấy thị trường lao động được hong?;__label__chitchat
Thật lòng mà nói, chuyển đổi số nghe mệt mỏi ghê.;__label__chitchat
Đúng rồi đó;__label__chitchat
Khá là ảo, đi ăn bún bò không, có nên thử không?;__label__chitchat
Nghe nè lú luôn luôn đó!;__label__chitchat
Thật lòng mà nói, quy hoạch đô thị nghe cũng được á.;__label__chitchat
Cười xỉu xịn sò luôn đó!;__label__chitchat
Chúc ngủ ngon;__label__chitchat
Xịn sò, cà phê sữa hay bạc xỉu, thấy sao?;__label__chitchat
Thật lòng mà nói, quyền riêng tư dữ liệu nghe bình tĩnh nào.;__label__chitchat
Thật lòng mà nói, chuyển đổi số nghe căng nha.;__label__chitchat
Nay mlem cái bánh kem này ghê, phiền phức quá trời.;__label__chitchat
Bạn thích mùa nào nhất?;__label__chitchat
Ê bạn ơi được phết luôn đó!;__label__chitchat
Thật lòng mà nói, lương cơ sở nghe bá cháy.;__label__chitchat
Ê bạn ơi, làm biếng kinh khủng, ổn không?;__label__chitchat
Này này hơi phèn luôn đó!;__label__chitchat
Thiệt luôn, có sale nè mua không, có gì đâu mà lo?;__label__chitchat
Nay nay deadline dí muốn xỉu, mệt xỉu.;__label__chitchat
Hôm nay có sale mua không, bực vãi;__label__chitchat
Nay cà phê sữa hay bạc xỉu, quê ghê.;__label__chitchat
Bạn khỏe không?;__label__chitchat
Ừm để coi;__label__chitchat
Nghe nói giá nhà đất thấy sao?;__label__chitchat
Liệu rằng quyền riêng tư dữ liệu ổn không?;__label__chitchat
Cười xỉu bối rối dễ sợ luôn đó!;__label__chitchat
Thật lòng mà nói, tự do ngôn luận nghe đường nào cũng được.;__label__chitchat
Có vẻ như bảo hiểm y tế ổn không?;__label__chitchat
Thú thật bá cháy luôn đó!;__label__chitchat
Cười xỉu, ship đồ ăn giúp mình với, ổn không?;__label__chitchat
Nay đang detox mạng xã hội nè, chán quá trời.;__label__chitchat
Ơ chết rồi;__label__chitchat
Ờ ờ;__label__chitchat
Báo chí nói nhiều về quyền riêng tư dữ liệu được không?;__label__chitchat
Tạm biệt;__label__chitchat
Bạn có thể kể một câu chuyện không?;__label__chitchat
Có vẻ như quốc hội đang tranh luận ổn không?;__label__chitchat
Khá là ảo phải hông luôn đó!;__label__chitchat
Xạo quá;__label__chitchat
Xịn sò, thèm trà đào sả, remark gì không?;__label__chitchat
Mệt quá;__label__chitchat
Ờ xịn phết;__label__chitchat
Ơ vãi;__label__chitchat
Ui hết nước chấm luôn đó!;__label__chitchat
Ờ ha;__label__chitchat
Bạn có thích nghe nhạc không?;__label__chitchat
Đang đói xỉu;__label__chitchat
Xịn sò ngộ ghê luôn đó!;__label__chitchat
Nay trời mưa thế này đi đâu, chán quá trời.;__label__chitchat
Dạo này người ta bàn nhiều về minh bạch ngân sách được hong?;__label__chitchat
Ừ thì vậy đó;__label__chitchat
Thật lòng mà nói, bảo hiểm y tế nghe cũng được á.;__label__chitchat
Trời ơi;__label__chitchat
Đi đâu đó?;__label__chitchat
Trời ơi, mai dậy sớm nổi không, được hong?;__label__chitchat
Ừa;__label__chitchat
Báo chí nói nhiều về tự do ngôn luận ổn không?;__label__chitchat
Thèm trà sữa;__label__chitchat
Nay thấy bảo hiểm y tế thiệt là bực mình quá;__label__chitchat
Bạn có thích hoa không?;__label__chitchat
Nay có sale nè mua không, quê vãi.;__label__chitchat
Mọi việc ổn chứ?;__label__chitchat
kkk;__label__chitchat
Báo chí nói nhiều về môi trường và rác thải nhựa có nên thử không?;__label__chitchat
Căng đét, wifi chập chờn khó chịu, đồng ý không?;__label__chitchat
Trời ơi đỉnh vcl luôn đó!;__label__chitchat
Đỉnh của chóp, thèm trà đào sả, remark gì không?;__label__chitchat
Ừ đúng rồi đó;__label__chitchat
Thật lòng mà nói, lương cơ sở nghe xịn sò.;__label__chitchat
Căng đét, mlem cái bánh kem này ghê, thấy sao?;__label__chitchat
lol;__label__chitchat
Nghe nè lươn lẹo quá luôn đó!;__label__chitchat
Khá là ảo căng nha luôn đó!;__label__chitchat
Ôi trời;__label__chitchat
Bạn đang học tiếng Anh à?;__label__chitchat
Công nhận lú luôn luôn đó!;__label__chitchat
Bạn nghĩ gì về chống tham nhũng ổn không?;__label__chitchat
Thật lòng mà nói, an toàn giao thông nghe đường nào cũng được.;__label__chitchat
Đi karaoke không?;__label__chitchat
Căng đét mệt mệt mà vui luôn đó!;__label__chitchat
Đỉnh của chóp, trúng lịch thi liền 2 môn, nghe hợp lý không?;__label__chitchat
Có vẻ như đồng tiền số được hong?;__label__chitchat
Thật lòng mà nói, chống tham nhũng nghe đỉnh vcl.;__label__chitchat
Thật lòng mà nói, quy hoạch đô thị nghe mệt mỏi ghê.;__label__chitchat
Nghe cũng hay đó;__label__chitchat
Báo chí nói nhiều về lương cơ sở đồng ý không?;__label__chitchat
Thiệt luôn, đang kẹt xe á, có gì hot hông?;__label__chitchat
Liệu rằng thị trường lao động được hong?;__label__chitchat
Có gì mới không?;__label__chitchat
Khá là ảo vui phết luôn đó!;__label__chitchat
Có vẻ như môi trường và rác thải nhựa có gì đâu mà lo?;__label__chitchat
Có khi nào an toàn giao thông được không?;__label__chitchat
Nay máy tính lag vãi, trễ chớ.;__label__chitchat
Sao xui dữ vậy;__label__chitchat
Nói xạo ghê;__label__chitchat
Ơ trời;__label__chitchat
Có khi nào quy hoạch đô thị ổn không?;__label__chitchat
Chán ghê, trúng lịch thi liền 2 môn, có gì đâu mà lo?;__label__chitchat
Ờ để coi đã;__label__chitchat
Ngon dữ;__label__chitchat
Mlem mlem hơi phèn luôn đó!;__label__chitchat
Trời ơi, cà phê sữa hay bạc xỉu, ổn không?;__label__chitchat
Quan điểm bạn ra sao về bầu cử sắp tới thấy sao?;__label__chitchat
Căng đét căng nha luôn đó!;__label__chitchat
Quan điểm bạn ra sao về an toàn giao thông nghe hợp lý không?;__label__chitchat
Bạn có thể giúp mình không?;__label__chitchat
Nay mai dậy sớm nổi không, chán quá trời.;__label__chitchat
Theo bạn thì bầu cử sắp tới được hong?;__label__chitchat
Xịn sò đường nào cũng được luôn đó!;__label__chitchat
Xịn sò đỉnh vcl luôn đó!;__label__chitchat
Bạn thích ngủ nướng không?;__label__chitchat
Thật lòng mà nói, thị trường lao động nghe ngộ ghê.;__label__chitchat
Xạo thiệt hả?;__label__chitchat
Báo chí nói nhiều về bảo hiểm y tế đồng ý không?;__label__chitchat
Trời ơi phải hông luôn đó!;__label__chitchat
Thật lòng mà nói, bảo hiểm y tế nghe căng nha.;__label__chitchat
Bạn có hay đi xem pháo hoa không?;__label__chitchat
Hôm nay đang detox mạng xã hội nè, nhức đầu vãi;__label__chitchat
Mlem mlem mệt mệt mà vui luôn đó!;__label__chitchat
Nghe nè, đi Đà Lạt cuối tuần hông, đi cùng tui không?;__label__chitchat
Trời ơi bối rối dễ sợ luôn đó!;__label__chitchat
Chuẩn vãi;__label__chitchat
Thèm ăn gì quá;__label__chitchat
Thật lòng mà nói, quốc hội đang tranh luận nghe mệt mỏi ghê.;__label__chitchat
Ôi chao, đang detox mạng xã hội nè, remark gì không?;__label__chitchat
Chúc mừng năm mới;__label__chitchat
Ôi chao bối rối dễ sợ luôn đó!;__label__chitchat
Bạn thích ăn ngọt hay mặn?;__label__chitchat
Thú thật mệt mỏi ghê luôn đó!;__label__chitchat
Trời ơi mệt mỏi ghê luôn đó!;__label__chitchat
Có vẻ như quyền riêng tư dữ liệu remark gì không?;__label__chitchat
Nghĩ mà tức, trời mưa thế này đi đâu, được hong?;__label__chitchat
Chúc may mắn;__label__chitchat
Hôm nay trúng lịch thi liền 2 môn, bực vãi;__label__chitchat
Thật lòng mà nói, giá nhà đất nghe mệt mỏi ghê.;__label__chitchat
Hẹn gặp lại;__label__chitchat
Nay nay deadline dí muốn xỉu, mệt bá đạo.;__label__chitchat
Nay mai dậy sớm nổi không, vãi cả hàng.;__label__chitchat
Có vẻ như lương cơ sở remark gì không?;__label__chitchat
Thật lòng mà nói, đồng tiền số nghe được phết.;__label__chitchat
Bạn có thể kể một trò đùa không?;__label__chitchat
Ui, làm biếng kinh khủng, được hong?;__label__chitchat
Có khi nào giá nhà đất thấy sao?;__label__chitchat
Mệt muốn xỉu;__label__chitchat
Bạn nghĩ gì về biến đổi khí hậu nghe hợp lý không?;__label__chitchat
Có vẻ như bảo hiểm y tế có nên thử không?;__label__chitchat
Ừm;__label__chitchat
Nói giỡn hả?;__label__chitchat
Nay đang kẹt xe á, mệt bá đạo.;__label__chitchat
Đi chill không?;__label__chitchat
Nay đi ăn bún bò không, quê ghê.;__label__chitchat
Ờ ngon nghẻ;__label__chitchat
Liệu rằng chính sách giáo dục mới có gì đâu mà lo?;__label__chitchat
Thú thật, làm biếng kinh khủng, có gì hot hông?;__label__chitchat
Bạn thích ăn món gì nhất?;__label__chitchat
Nay đi Đà Lạt cuối tuần hông, chán quá trời.;__label__chitchat
Ơ kkk;__label__chitchat
Thật lòng mà nói, minh bạch ngân sách nghe bình tĩnh nào.;__label__chitchat
Có vẻ như chính sách giáo dục mới được hong?;__label__chitchat
Bạn bao nhiêu tuổi?;__label__chitchat
Nay ship đồ ăn giúp mình với, mệt bá đạo.;__label__chitchat
Đi coi phim không?;__label__chitchat
Ui, đang kẹt xe á, đi cùng tui không?;__label__chitchat
Nay cà phê sữa hay bạc xỉu, mệt bá đạo.;__label__chitchat
Ờ để suy nghĩ;__label__chitchat
Quan điểm bạn ra sao về minh bạch ngân sách có nên thử không?;__label__chitchat
Chúc bạn một ngày tốt lành;__label__chitchat
Thật lòng mà nói, biến đổi khí hậu nghe đỉnh vcl.;__label__chitchat
Thú thật, mai dậy sớm nổi không, được không?;__label__chitchat
Khá là ảo, mai dậy sớm nổi không, remark gì không?;__label__chitchat
Chán ghê phải hông luôn đó!;__label__chitchat
Đỉnh của chóp mệt mỏi ghê luôn đó!;__label__chitchat
Ui, đang detox mạng xã hội nè, đi cùng tui không?;__label__chitchat
Đi phượt không?;__label__chitchat
Ơ kìa;__label__chitchat
Thật lòng mà nói, mức thuế thu nhập nghe phải hông.;__label__chitchat
Nay thấy mức thuế thu nhập thiệt là bực mình quá;__label__chitchat
Bạn thích ăn bánh chưng hay bánh tét?;__label__chitchat
Chán đời;__label__chitchat
Thật lòng mà nói, chống tham nhũng nghe lươn lẹo quá.;__label__chitchat
Nghe drama chưa?;__label__chitchat
Nay có sale nè mua không, quê ghê.;__label__chitchat
Ơ dễ thương ghê;__label__chitchat
Nay coi phim gì tối nay, vãi cả hàng.;__label__chitchat
Liệu rằng bầu cử sắp tới có gì hot hông?;__label__chitchat
Thật lòng mà nói, chính sách giáo dục mới nghe đường nào cũng được.;__label__chitchat
Thật lòng mà nói, quốc hội đang tranh luận nghe ngộ ghê.;__label__chitchat
Ơ đúng luôn;__label__chitchat
Mặc kệ nó;__label__chitchat
Nay thấy bầu cử sắp tới thiệt là khó chịu dễ sợ;__label__chitchat
Khá là ảo, coi phim gì tối nay, ổn không?;__label__chitchat
Mlem mlem;__label__chitchat
Chào buổi sáng;__label__chitchat
Đỉnh của chóp, có sale nè mua không, thấy sao?;__label__chitchat
Xịn sò, đang kẹt xe á, có nên thử không?;__label__chitchat
Nghe nói giá xăng tăng giảm đi cùng tui không?;__label__chitchat
Nay trúng lịch thi liền 2 môn, mệt bá đạo.;__label__chitchat
Căng đét, ship đồ ăn giúp mình với, đi cùng tui không?;__label__chitchat
Nghe nè bối rối dễ sợ luôn đó!;__label__chitchat
Dạo này người ta bàn nhiều về chính sách giáo dục mới nghe hợp lý không?;__label__chitchat
Nay thèm trà đào sả, vãi thiệt.;__label__chitchat
Thật lòng mà nói, quốc hội đang tranh luận nghe bình tĩnh nào.;__label__chitchat
Bạn có anh chị em không?;__label__chitchat
Chào buổi trưa;__label__chitchat
Ơ ghê vậy;__label__chitchat
Ê bạn ơi, có sale mua không, nghe hợp lý không?;__label__chitchat
Nay làm biếng kinh khủng, vãi chưởng.;__label__chitchat
Nay có sale nè mua không, trễ chớ.;__label__chitchat
Hên ghê;__label__chitchat
Nay đang detox mạng xã hội nè, vãi cả hàng.;__label__chitchat
Ê;__label__chitchat
Ừm chắc vậy;__label__chitchat
Nay ship đồ ăn giúp mình với, phiền phức quá trời.;__label__chitchat
Nay thấy an toàn giao thông thiệt là bực mình quá;__label__chitchat
Kệ đi;__label__chitchat
Nay làm biếng kinh khủng, trễ chớ.;__label__chitchat
Này này, wifi chập chờn khó chịu, có nên thử không?;__label__chitchat
Thật lòng mà nói, biến đổi khí hậu nghe mệt mệt mà vui.;__label__chitchat
Ê bạn ơi hết nước chấm luôn đó!;__label__chitchat
Nay trời mưa thế này đi đâu, phiền phức quá trời.;__label__chitchat
Thật lòng mà nói, quốc hội đang tranh luận nghe phải hông.;__label__chitchat
Ơ thế à;__label__chitchat
Chán ghê, đang kẹt xe á, ổn không?;__label__chitchat
Thật lòng mà nói, chuyển đổi số nghe đường nào cũng được.;__label__chitchat
Xịn sò, trời mưa thế này đi đâu, có gì đâu mà lo?;__label__chitchat
Hôm nay trời mưa thế này đi đâu, nhức đầu vãi;__label__chitchat
Dạo này sao rồi?;__label__chitchat
Thua luôn;__label__chitchat
Kkk;__label__chitchat
Bạn có hay nghe podcast không?;__label__chitchat
Thật lòng mà nói, giá xăng tăng giảm nghe ngộ ghê.;__label__chitchat
Nay thấy minh bạch ngân sách thiệt là quá trời mệt;__label__chitchat
Bạn có thích thể thao không?;__label__chitchat
Căng đét, trời mưa thế này đi đâu, ổn không?;__label__chitchat
Xịn xò;__label__chitchat
Nghĩ mà tức mệt mỏi ghê luôn đó!;__label__chitchat
Bạn có hay tập thể dục không?;__label__chitchat
Đỉnh của chóp, máy tính lag vãi, ổn không?;__label__chitchat
huhu;__label__chitchat
Ê bạn ơi bá cháy luôn đó!;__label__chitchat
Báo chí nói nhiều về chuyển đổi số đi cùng tui không?;__label__chitchat
Nghe xong thấy ham;__label__chitchat
Nay đang kẹt xe á, phiền phức quá trời.;__label__chitchat
Ừm nghe cũng được;__label__chitchat
Chán ghê căng nha luôn đó!;__label__chitchat
Chào bạn;__label__chitchat
Dạo này người ta bàn nhiều về lương cơ sở thấy sao?;__label__chitchat
Thiệt luôn, đang detox mạng xã hội nè, nghe hợp lý không?;__label__chitchat
Chém gió xíu;__label__chitchat
Chán ghê, đang kẹt xe á, thấy sao?;__label__chitchat
Bạn có thú cưng không?;__label__chitchat
Mình thấy quyền riêng tư dữ liệu có gì hot hông?;__label__chitchat
Nay cà phê sữa hay bạc xỉu, quê vãi.;__label__chitchat
Báo chí nói nhiều về tự do ngôn luận có gì hot hông?;__label__chitchat
Đi chơi hông?;__label__chitchat
Đỉnh của chóp, mlem cái bánh kem này ghê, có gì hot hông?;__label__chitchat
Thiệt luôn, mua điện thoại mới chưa, đi cùng tui không?;__label__chitchat
Nay trời mưa thế này đi đâu, quê ghê.;__label__chitchat
Haha;__label__chitchat
Này này mệt mệt mà vui luôn đó!;__label__chitchat
Nay có sale nè mua không, vãi cả hàng.;__label__chitchat
Ờ đúng rồi;__label__chitchat
Ơ sao thế;__label__chitchat
Thật lòng mà nói, tự do ngôn luận nghe được phết.;__label__chitchat
Hân hạnh làm quen;__label__chitchat
Đỉnh của chóp, trời mưa thế này đi đâu, nghe hợp lý không?;__label__chitchat
Thật lòng mà nói, giá xăng tăng giảm nghe vui phết.;__label__chitchat
Ừ;__label__chitchat
Tối nay rảnh hông?;__label__chitchat
Đỉnh của chóp xịn sò luôn đó!;__label__chitchat
Hehe;__label__chitchat
Nghĩ mà tức đường nào cũng được luôn đó!;__label__chitchat
Có khi nào chuyển đổi số có gì đâu mà lo?;__label__chitchat
Cảm ơn vì đã lắng nghe;__label__chitchat
Ờ vậy đi;__label__chitchat
Dạo này người ta bàn nhiều về chính sách giáo dục mới có gì đâu mà lo?;__label__chitchat
Hôm nay ngủ trễ quá mai toang, nhức đầu vãi;__label__chitchat
Đói bụng quá;__label__chitchat
Bạn có đi chơi cuối tuần không?;__label__chitchat
Hehe bá cháy luôn đó!;__label__chitchat
Chúc một ngày an lành;__label__chitchat
Chuẩn bài;__label__chitchat
Hehe, có sale nè mua không, có gì hot hông?;__label__chitchat
Nay làm biếng kinh khủng, chán quá trời.;__label__chitchat
Thèm ăn vặt;__label__chitchat
Dạo này ổn chứ?;__label__chitchat
Có khi nào giá xăng tăng giảm có gì hot hông?;__label__chitchat
Nói thiệt, đang detox mạng xã hội nè, nghe hợp lý không?;__label__chitchat
